date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:31	38393/38393	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:34:05%20GMT	https://grandetest.com/theme/jobhunt-html/index6.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/index6.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:31	42151/42151	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:33:54%20GMT	https://grandetest.com/theme/jobhunt-html/index7.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/index7.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:34	35770/35770	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:33:42%20GMT	https://grandetest.com/theme/jobhunt-html/index8.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/index8.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:34	28261/28261	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:37:40%20GMT	https://grandetest.com/theme/jobhunt-html/employer_list1.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_list1.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:34	30004/30004	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:37:30%20GMT	https://grandetest.com/theme/jobhunt-html/employer_list2.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_list2.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:34	31321/31321	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:37:20%20GMT	https://grandetest.com/theme/jobhunt-html/employer_list3.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_list3.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:35	25154/25154	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:37:10%20GMT	https://grandetest.com/theme/jobhunt-html/employer_list4.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_list4.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:36	27018/27018	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:36:59%20GMT	https://grandetest.com/theme/jobhunt-html/employer_manage_jobs.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_manage_jobs.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:36	27632/27632	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:35:58%20GMT	https://grandetest.com/theme/jobhunt-html/employer_single2.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_single2.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:36	28697/28697	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:36:10%20GMT	https://grandetest.com/theme/jobhunt-html/employer_single1.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_single1.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
